Consensus,Player,Player Link,Player Slug/ID,Consensus Pos,Team/Bye,BestBall10s,CBS,DraftKings,Drafters,ESPN,MFL,NFFC,NFLcom,RT Sports,Sleeper,Underdog,Yahoo!
108,Keon Coleman,https://www.footballguys.com/player/Keon+Coleman/ColeKe01,ColeKe01,WR48,BUF/7,116,123,97,80,114,144,100,138,117,121,89,163
111,Josh Downs,https://www.footballguys.com/player/Josh+Downs/DownJo00,DownJo00,WR49,IND/11,124,136,103,95,139,179,99,139,121,110,83,136
126,Rashid Shaheed,https://www.footballguys.com/player/Rashid+Shaheed/ShahRa00,ShahRa00,WR50,NO/11,142,157,114,103,128,190,123,179,148,142,106,175
129,Jayden Higgins,https://www.footballguys.com/player/Jayden+Higgins/HiggJa00,HiggJa00,WR51,HOU/6,151,164,112,113,137,207,117,205,134,118,88,195
131,Keenan Allen,https://www.footballguys.com/player/Keenan+Allen/AlleKe00,AlleKe00,WR52,LAC/12,130,149,107,112,122,187,125,224,133,160,125,174
133,Darnell Mooney,https://www.footballguys.com/player/Darnell+Mooney/MoonDa00,MoonDa00,WR53,ATL/5,149,119,134,126,135,188,119,181,137,124,102,205
134,Brandon Aiyuk,https://www.footballguys.com/player/Brandon+Aiyuk/AiyuBr00,AiyuBr00,WR54,SF/14,145,138,144,151,161,200,146,125,142,122,120,172
136,Christian Kirk,https://www.footballguys.com/player/Christian+Kirk/KirkCh00,KirkCh00,WR55,HOU/6,126,128,121,105,181,213,109,171,150,164,117,194
140,Luther Burden III,https://www.footballguys.com/player/Luther+Burden+III/BurdLu00,BurdLu00,WR56,CHI/5,143,170,135,116,188,243,124,210,153,153,112,171
144,Rashod Bateman,https://www.footballguys.com/player/Rashod+Bateman/BateRa00,BateRa00,WR57,BAL/7,140,139,119,119,178,155,132,184,195,165,114,187
146,Marvin Mims Jr.,https://www.footballguys.com/player/Marvin+Mims+Jr+/MimsMa00,MimsMa00,WR58,DEN/12,131,178,118,115,168,196,116,173,129,154,-,198
152,Marquise Brown,https://www.footballguys.com/player/Marquise+Brown/BrowMa05,BrowMa05,WR59,KC/10,166,213,168,155,171,308,152,124,168,194,146,164
159,Adam Thielen,https://www.footballguys.com/player/Adam+Thielen/ThieAd00,ThieAd00,WR60,MIN/6,171,169,142,166,152,192,162,207,190,169,168,162
166,Tre' Harris,https://www.footballguys.com/player/Tre%27+Harris/HarrTr03,HarrTr03,WR61,LAC/12,183,-,156,169,-,301,151,167,171,148,145,191
167,Joshua Palmer,https://www.footballguys.com/player/Joshua+Palmer/PalmJo01,PalmJo01,WR62,BUF/7,161,-,149,124,-,297,155,235,184,190,138,155
170,Cedric Tillman,https://www.footballguys.com/player/Cedric+Tillman/TillCe00,TillCe00,WR63,CLE/9,157,204,158,136,165,283,144,-,175,189,154,229
175,Xavier Legette,https://www.footballguys.com/player/Xavier+Legette/LegeXa00,LegeXa00,WR64,CAR/14,177,199,174,172,157,287,164,208,179,191,161,237
176,Kyle Williams,https://www.footballguys.com/player/Kyle+Williams/WillKy01,WillKy01,WR65,NE/14,184,-,170,170,-,306,175,222,166,171,147,177
181,Wan'Dale Robinson,https://www.footballguys.com/player/Wan%26apos%3BDale+Robinson/RobiWa00,RobiWa00,WR66,NYG/14,165,172,165,162,183,219,147,250,180,195,167,233
183,DeMario Douglas,https://www.footballguys.com/player/DeMario+Douglas/DougDe00,DougDe00,WR67,NE/14,169,209,147,141,-,263,145,-,181,209,148,230
